Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: maçã madura, limão sutil, mineral e noz leve. Boca: cremoso fresco, acidez viva, corpo médio, final longo mineral. Elegante equilibrado, pronto mas evolui bem. Beba agora-2032. Peixe grelhado ou frango cremoso.|JS: N/A (similar 92-94) | WA: N/A | TA: N/A | Peñín: N/A
Tara Blanco 2022|Valle de Maipo|Sauvignon Blanc|94€|Nariz: maracujá ervas. Boca: fresco mineral. Chile top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Blanco 2022|Borgoña|Chardonnay|943€|Nariz: limão maçã mineral. Boca: cremoso tenso. Morey top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Les Deux Fleches Tinto 2022|Beaujolais|Gamay|85€|Nariz: frutas vermelhas ervas. Boca: leve mineral. Beaujolais branco? (verifique). Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Guicciardini Strozzi Blanco 2020|Toscana|Vernaccia|36€|Nariz: maçã limão. Boca: mineral seco. Vernaccia acessível. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Louis Jadot Blanco 2022|Borgoña|Chardonnay|578€|Nariz: limão tostado. Boca: cremoso equilibrado. Jadot clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bodegas Attis Blanco 2022|Rías Baixas|Albariño|63€|Nariz: maçã limão sal marinho. Boca: fresco mineral. Albariño top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Naia Blanco 2023|Castilla y León|Verdejo|71€|Nariz: ervas cítricos. Boca: crocante mineral. Verdejo puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Arnaud Ente Blanco 2020|Borgoña|Chardonnay|1650€|Nariz: limão maçã mineral. Boca: cremoso persistente. Ente top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Racines Wine Blanco 2022|California|Chardonnay|102€|Nariz: limão tostado. Boca: cremoso mineral. CA elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hudelot-Noellat Tinto 2022|Borgoña|Pinot Noir|224€|Nariz: frutas vermelhas ervas (tinto, mas lista branco?). Boca: leve mineral. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Arnaud Ente Blanco 2019|Borgoña|Chardonnay|3850€|Nariz: maçã mineral tostado. Boca: denso elegante. Ente maduro. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Michel Lafarge Tinto 2022|Borgoña|Pinot Noir|125€|Nariz: frutas vermelhas (tinto). Boca: leve puro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Lucien Le Moine Blanco 2022|Borgoña|Chardonnay|869€|Nariz: limão mineral. Boca: cremoso complexo. Le Moine top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pazo Barrantes Blanco 2022|Rías Baixas|Albariño|90€|Nariz: maçã limão salino. Boca: fresco mineral. Albariño elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pazo Barrantes Blanco 2020|Rías Baixas|Albariño|253€|Nariz: frutas maduras mineral. Boca: cremoso longo. Maduro top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Blanco 2023|Borgoña|Chardonnay|1435€|Nariz: limão maçã mineral. Boca: cremoso denso. Girardin top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Muga Blanco 2022|Rioja|Viura|68€|Nariz: maçã limão. Boca: fresco mineral. Rioja branco. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine Paul Cherrier Blanco 2023|Loira|Sauvignon Blanc|65€|Nariz: maracujá ervas. Boca: crocante mineral. Sancerre puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Battenfeld Spanier Blanco 2024|Renania-Palatinado|Riesling|33€|Nariz: limão maçã verde mineral. Boca: seco crocante, acidez alta. Riesling jovem. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Vincent Blanco 2023|Borgoña|Chardonnay|197€|Nariz: maçã limão mineral. Boca: fresco puro. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
#N/D|Málaga|Pedro Ximénez|Media botella (50cl)|2023|87€|Nariz: mel figo, caramelo. Boca: doce viscoso, acidez viva. PX jovem. Beba agora-2030. Sobremesas ou queijo azul.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A (similar 90+)
Molino Real 15-|2015|Málaga|Moscatel|Media botella (50cl)|85€|Nariz: mel laranja confitada, flores. Boca: doce equilibrado, acidez boa. Moscatel maduro. Beba agora-2030. Sobremesas.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Molino Real 21-|2021|Málaga|Moscatel|Media botella (50cl)|99€|Nariz: uvas passas, mel. Boca: doce intenso, final longo. Jovem doce. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Toro Albala Don Px 23-|2023|Montilla-Moriles|Pedro Ximénez|45€|Nariz: figo caramelo, mel. Boca: doce viscoso, acidez viva. PX acessível. Beba agora-2030. Chocolate ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Toro Albala Don PX Gran Rva 03-|2003|Montilla-Moriles|Pedro Ximénez|90€|Nariz: mel figo, café, madeira. Boca: doce complexo eterno. Maduro lendário. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Victoria N2 J. Ordoñez 24-|2024|Málaga|Moscatel de Alejandría|Media botella (50cl)|37€|Nariz: flores uvas, mel. Boca: doce fresco, acidez boa. Moscatel jovem. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sitta Pereiras 23-|2023|Rías Baixas|Albariño|Media botella (50cl)|52€|Nariz: maçã limão salino. Boca: fresco mineral. Albariño meia garrafa. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chateau d'Yquem 06-|2006|Burdeos|Sémillon|884€|Nariz: mel abacaxi botrytis, laranja confitada. Boca: doce luxuoso, acidez vibrante, cremoso infinito. Maduro Sauternes top. Beba agora-2050+. Foie gras ou queijo azul.|JS: 98 (similar) | WA: 97+ | TA: N/A | Peñín: N/A
Chateau d'Yquem 13-|2013|Burdeos|Sémillon|1085€|Nariz: mel frutas secas. Boca: doce equilibrado longo. Evoluído delicioso. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chateau d'Yquem 19-|2019|Burdeos|Sémillon|749€|Nariz: mel tarte tatin, caramelo salgado, laranja seca. Boca: doce intenso, acidez viva, cremoso eterno. Ícone 2019. Beba agora-2070+. Luxo.|JS: 96-99 | WA: 97+ | TA: N/A | Peñín: N/A
Doble Mg Chateau d'Yquem 10-|2010|Burdeos|Sémillon|Doble Magnum (300cl)|5440€|Nariz: mel abacaxi botrytis. Boca: doce denso infinito. Magnum lendário. Beba agora-2060+|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Chateau d'Yquem 14-|2014|Burdeos|Sémillon|Doble Magnum (300cl)|4775€|Nariz: mel frutas maduras. Boca: cremoso eterno. Magnum top. Beba agora-2050+|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Chateau d'Yquem 05-|2005|Burdeos|Sémillon|Magnum (150cl)|2430€|Nariz: mel botrytis maduro. Boca: rico complexo. Magnum evoluído. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Chateau d'Yquem 10-|2010|Burdeos|Sémillon|Magnum (150cl)|2575€|Nariz: mel laranja confitada. Boca: doce luxuoso eterno. Magnum top. Beba agora-2060.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Chateau d'Yquem 11-|2011|Burdeos|Sémillon|Magnum (150cl)|2025€|Nariz: mel frutas secas. Boca: cremoso equilibrado. Magnum maduro. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Chateau d'Yquem 19-|2019|Burdeos|Sémillon|Magnum (150cl)|1625€|Nariz: mel caramelo salgado. Boca: doce intenso cremoso. Magnum ícone. Beba 2028-2070.|JS: 96-99 | WA: 97+ | TA: N/A | Peñín: N/A
Oremus 5 Puttonyos 17-|2017|Tokaji-Hegyalja|Furmint|0.5cl|96€|Nariz: mel apricot, laranja confitada. Boca: doce equilibrado, acidez viva, longo. Aszú clássico. Beba agora-2040. Sobremesas.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus 6 Puttonyos 14-|2014|Tokaji-Hegyalja|Furmint|0.5cl|118€|Nariz: mel figo, botrytis intenso. Boca: doce denso, acidez alta. Aszú top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Eszencia 14-|2014|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|768€|Nariz: mel laranja botrytis extremo. Boca: doce ultra-viscoso, acidez altíssima, final eterno. Essência pura. Beba em gotas agora-2100+. Sobremesas ou sozinho.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus 5 Puttonyos 00-|2000|Tokaji-Hegyalja|Furmint|0.5cl|120€|Nariz: mel frutas secas maduras. Boca: doce complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus 5 puttonyos 16-|2016|Tokaji-Hegyalja|Furmint|0.5cl|91€|Nariz: apricot mel. Boca: doce equilibrado longo. Aszú bom. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus 6PTT 13-|2013|Tokaji-Hegyalja|Furmint|0.5cl|125€|Nariz: mel figo botrytis. Boca: doce denso. Top Aszú. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Eszencia 09-|2009|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|750€|Nariz: mel botrytis intenso. Boca: doce eterno. Maduro top. Beba agora-2100.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Eszencia 11-|2011|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|750€|Nariz: mel laranja. Boca: viscoso acidez viva. Essência. Beba agora-2100.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Eszencia 12-|2012|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|605€|Nariz: mel apricot. Boca: doce puro. Top. Beba agora-2100.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Eszencia 13-|2013|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|731€|Nariz: mel figo botrytis. Boca: eterno intenso. Ícone. Beba agora-2100.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Dulce 2017|2017|Tokaji-Hegyalja|Furmint|0.5cl|91€|Nariz: mel frutas secas. Boca: doce equilibrado. Dulce bom. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Dulce 2014|2014|Tokaji-Hegyalja|Furmint|0.5cl|112€|Nariz: mel laranja. Boca: doce cremoso. Maduro. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Oremus Dulce 2014|2014|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|731€|Nariz: mel botrytis. Boca: doce eterno. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Bufadors Vinya Rascara BN 19-|2019|Penedès|Macabeo|120€|Nariz: maçã madura mineral. Boca: seco complexo. Cava base top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gramona Celler Batlle 14-|2014|Cava|Macabeo|181€|Nariz: brioche maçã mel. Boca: cremoso fino bolha integrada. Cava lendário. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gramona III Lustros 16-|2016|Cava|Macabeo|93€|Nariz: brioche maçã madura mel. Boca: cremoso fino, bolha integrada, acidez viva. Cava top. Beba agora-2030. Aperitivo ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar)
Gramona Imperial 19-|2019|Cava|Macabeo|64€|Nariz: tostado maçã. Boca: equilibrado cremoso. Cava clássico. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gramona Rose 22-|2022|Cava|Macabeo|59€|Nariz: morango maçã. Boca: fresco cremoso. Rosé Cava. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gran Juve Camps 18-|2018|Cava|Macabeo|84€|Nariz: brioche frutas maduras. Boca: denso cremoso. Gran Reserva. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Gran Torello Brut Nature 16-|2016|Cava|Macabeo|79€|Nariz: tostado maçã. Boca: seco cremoso. Brut Nature top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Juve Camps Milesime 20-|2019|Cava|Macabeo|70€|Nariz: brioche limão. Boca: equilibrado fino. Milesime bom. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Clos Damiana 13-|2013|Cava|Macabeo|125€|Nariz: brioche maçã madura. Boca: cremoso denso. Cava antigo top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Coquet BN G Rva 19-|2019|Cava|Macabeo|34€|Nariz: tostado maçã. Boca: seco equilibrado. Gran Reserva bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Coquet BN G Rva 20 BL-|2020|Cava|Macabeo|39€|Nariz: brioche frutas. Boca: cremoso fino. Gran Reserva. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Mas Via 08-|2008|Cava|Macabeo|132€|Nariz: brioche mel. Boca: denso complexo. Cava maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Visol 19-|2019|Cava|Xarel·lo|45€|Nariz: maçã tostado. Boca: mineral cremoso. Xarel·lo puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raventos i Blanc De la Finca 21-|2021|Conca del Riu Anoia|Macabeo|44€|Nariz: maçã verde ervas mineral. Boca: seco tenso acidez alta. Elegante puro. Beba agora-2028. Peixe grelhado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 92
Raventos i Blanc Textures de Pedra 19-|2019|Conca del Riu Anoia|Macabeo|74€|Nariz: mineral maçã tostado. Boca: denso cremoso. Texturas top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raventos Mas Del Serral 07-|2007|Cava|Macabeo|262€|Nariz: brioche mel maduro. Boca: complexo eterno. Cava lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Recaredo Intens Rosat BN G Rva 20-|2020|Cava|Macabeo|80€|Nariz: morango tostado. Boca: cremoso seco. Rosat top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
