Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis mineral maduro, ervas secas, couro sutil. Boca: cremoso taninos polidos, acidez viva, longo elegante. Reserva top madura. Beba agora-2035. Carne grelhada ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Prado Enea)
Michel Noellat Echezeaux 22-|2022|Borgoña|Pinot Noir|744€|Nariz: frutas vermelhas ervas. Boca: denso cremoso. Echezeaux top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Morey Blanc Voln 1C Pitures 23-|2023|Borgoña|Pinot Noir|195€|Nariz: morango mineral. Boca: cremoso elegante. Pitures top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugn Gibourg Vosne Rom 22-|2022|Borgoña|Pinot Noir|302€|Nariz: cassis ervas. Boca: denso puro. Vosne top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Amoureuses 18-|2018|Borgoña|Pinot Noir|3300€|Nariz: morango mineral maduro. Boca: cremoso taninos firmes. Amoureuses top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Amoureuses 19-|2019|Borgoña|Pinot Noir|5100€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Amoureuses 20-|2020|Borgoña|Pinot Noir|4000€|Nariz: cassis mineral. Boca: cremoso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Les Fuees 19-|2019|Borgoña|Pinot Noir|1602€|Nariz: morango ervas. Boca: denso cremoso. Fuees top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Les Fuees 20-|2020|Borgoña|Pinot Noir|1300€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Chambolle 1C Les Fuees 21-|2021|Borgoña|Pinot Noir|1150€|Nariz: cassis ervas. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Musigny 13-|2013|Borgoña|Pinot Noir|3400€|Nariz: frutas vermelhas mineral maduro. Boca: complexo eterno. Musigny top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Musigny 14-|2014|Borgoña|Pinot Noir|3080€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Musigny 15-|2015|Borgoña|Pinot Noir|6160€|Nariz: morango mineral. Boca: cremoso taninos firmes. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mugnier Musigny 16-|2016|Borgoña|Pinot Noir|4300€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Roch SLB Dessus Gollardes 22-|2022|Borgoña|Pinot Noir|275€|Nariz: morango mineral. Boca: cremoso puro. SLB top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P. Charlopin Bel Air 16-|2016|Borgoña|Pinot Noir|270€|Nariz: frutas vermelhas ervas maduro. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Charmes Chambertin 23-|2023|Borgoña|Pinot Noir|1150€|Nariz: morango mineral. Boca: denso cremoso. Charmes top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Clos de Vougeot 23-|2023|Borgoña|Pinot Noir|995€|Nariz: cassis ervas. Boca: denso elegante. Clos top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Echezeaux 22-|2022|Borgoña|Pinot Noir|1080€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Echezeaux top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Echezeaux 23-|2023|Borgoña|Pinot Noir|1050€|Nariz: morango ervas. Boca: denso puro. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Nuits St Georges 23-|2023|Borgoña|Pinot Noir|228€|Nariz: cassis mineral. Boca: cremoso elegante. NSG top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Pommard 22-|2022|Borgoña|Pinot Noir|242€|Nariz: frutas vermelhas ervas. Boca: denso cremoso. Pommard top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Vosne Romanee 23-|2023|Borgoña|Pinot Noir|354€|Nariz: morango mineral. Boca: puro tenso. Vosne top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pascal Pernot Gevrey Chambertin 22-|2022|Borgoña|Pinot Noir|120€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Gevrey top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot Minot Chambertin Clos de Beze 19-|2019|Borgoña|Pinot Noir|2600€|Nariz: cassis mineral. Boca: denso cremoso. Clos de Beze top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot Minot Chapelle Chambertin 19-|2019|Borgoña|Pinot Noir|1350€|Nariz: morango ervas. Boca: cremoso taninos firmes. Chapelle top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot Minot Charmes Chambertin 19-|2019|Borgoña|Pinot Noir|1350€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Charmes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot Minot MSD Rue de Vergy 19-|2019|Borgoña|Pinot Noir|325€|Nariz: morango mineral. Boca: cremoso puro. Rue de Vergy top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot Minot Vosne Rom 1C Champs Perdrix 19-|2019|Borgoña|Pinot Noir|714€|Nariz: cassis ervas. Boca: denso cremoso. Champs Perdrix top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Chambertin 18-|2018|Borgoña|Pinot Noir|3640€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Chambertin top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Chambertin 19-|2019|Borgoña|Pinot Noir|3870€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Chambertin 20-|2020|Borgoña|Pinot Noir|3605€|Nariz: morango mineral. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Chambertin 21-|2021|Borgoña|Pinot Noir|3654€|Nariz: frutas vermelhas ervas. Boca: cremoso puro. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Morey-StD Rue de Vergy 20-|2020|Borgoña|Pinot Noir|399€|Nariz: morango ervas. Boca: denso cremoso. Rue de Vergy top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Perrot-Minot Morey-StD Rue de Vergy 21-|2021|Borgoña|Pinot Noir|487€|Nariz: cassis mineral. Boca: cremoso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Vincent Voln 1C Roncer 23-|2023|Borgoña|Pinot Noir|405€|Nariz: morango mineral. Boca: cremoso tenso. Roncer top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ponsot Chapelle Chambertin 22-|2022|Borgoña|Pinot Noir|882€|Nariz: frutas vermelhas ervas. Boca: denso puro. Chapelle top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ponsot Clos La Roche Cuvee VV 21-|2021|Borgoña|Pinot Noir|1484€|Nariz: morango mineral. Boca: cremoso taninos firmes. Clos VV top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Chamber Cl Beze 22-|2022|Borgoña|Pinot Noir|2360€|Nariz: cassis ervas. Boca: denso cremoso. Chamber Cl Beze top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Clos de Vougeot 19-|2019|Borgoña|Pinot Noir|2180€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Clos de Vougeot 20-|2020|Borgoña|Pinot Noir|1240€|Nariz: morango ervas. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Clos Varoilles 20-|2020|Borgoña|Pinot Noir|1208€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Clos Varoilles top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Clos Vougeot 22-|2022|Borgoña|Pinot Noir|884€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch G Ch 1C Clos Varoilles 22-|2022|Borgoña|Pinot Noir|730€|Nariz: morango mineral. Boca: cremoso puro. Clos Varoilles top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Prieure Roch Gevrey 1C VV 22-|2022|Borgoña|Pinot Noir|730€|Nariz: cassis ervas. Boca: denso cremoso. VV top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
