Prieure Roch Le Clos Goillote 17-|2017|Borgoña|Pinot Noir|4175€|Nariz: frutas vermelhas maduras, mineral sutil, toque floral. Boca: denso cremoso, taninos finos, acidez viva, final longo elegante. Clos Goillote top maduro. Beba agora-2035. Carne vermelha ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Mouton Rothschild 10-|2010|Burdeos|Cabernet Sauvignon|1950€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Mouton Rothschild 15-|2015|Burdeos|Cabernet Sauvignon|1750€|Nariz: cassis violetas. Boca: denso cremoso. Top. Beba 2028-2050. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Mouton Rothschild 17-|2017|Burdeos|Cabernet Sauvignon|1134€|Nariz: cassis mineral. Boca: cremoso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Palmer 16-|2016|Burdeos|Cabernet Sauvignon|930€|Nariz: cassis ervas. Boca: denso taninos firmes. Palmer top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Palmer 17-|2017|Burdeos|Cabernet Sauvignon|698€|Nariz: cassis mineral. Boca: cremoso longo. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Pavie 14-|2014|Burdeos|Merlot|682€|Nariz: cassis ervas maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Pavie 17-|2017|Burdeos|Merlot|762€|Nariz: frutas escuras mineral. Boca: cremoso taninos firmes. Top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Pavie 18-|2018|Burdeos|Merlot|819€|Nariz: cassis violetas. Boca: denso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Pavie 20-|2020|Burdeos|Merlot|710€|Nariz: cassis mineral. Boca: cremoso longo. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Pavie 21-|2021|Burdeos|Merlot|650€|Nariz: frutas escuras ervas. Boca: denso puro. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Potensac 22-|2022|Burdeos|Cabernet Sauvignon|78€|Nariz: cassis ervas. Boca: cremoso equilibrado. Bom valor. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Trotanoy 16-|2016|Burdeos|Merlot|504€|Nariz: cassis mineral maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Trotanoy 18-|2018|Burdeos|Merlot|682€|Nariz: frutas escuras ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos du Clocher Pomerol 19-|2019|Burdeos|Merlot|162€|Nariz: cassis mineral. Boca: denso cremoso. Clos top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos Du Clocher Pomerol 21-|2021|Burdeos|Merlot|126€|Nariz: frutas escuras ervas. Boca: cremoso elegante. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos Fourtet 18-|2018|Burdeos|Cabernet Sauvignon|310€|Nariz: cassis mineral. Boca: denso taninos firmes. Clos top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos Fourtet Saint Emilion GC Classe 19-|2019|Burdeos|Merlot|287€|Nariz: cassis ervas. Boca: cremoso longo. GC top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos D´Estournel Saint Estephe 21-|2021|Burdeos|Cabernet Sauvignon|439€|Nariz: cassis mineral. Boca: denso cremoso. Cos top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos D'Estournel 10-|2010|Burdeos|Cabernet Sauvignon|650€|Nariz: cassis ervas maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos D'Estournel 17-|2017|Burdeos|Cabernet Sauvignon|472€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos d'Estournel Saint Estephe 09-|2009|Burdeos|Cabernet Sauvignon|785€|Nariz: cassis ervas maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos d'Estournel Saint Estephe 19-|2019|Burdeos|Cabernet Sauvignon|475€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos d'Estournel Saint Estephe 20-|2020|Burdeos|Cabernet Sauvignon|522€|Nariz: cassis violetas. Boca: denso puro. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos D'Estournel TO 22-|2022|Burdeos|Cabernet Sauvignon|598€|Nariz: cassis mineral. Boca: cremoso taninos firmes. TO top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
D. Chevalier 15-|2015|Burdeos|Cabernet Sauvignon|165€|Nariz: cassis ervas. Boca: cremoso equilibrado. Chevalier top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Doble Mg Cheval Blanc 09-|2009|Burdeos|Merlot|Doble Magnum (300cl)|16675€|Nariz: cassis mineral maduro. Boca: denso eterno. Magnum lendário. Beba agora-2060. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Domaine de Chevalier TO 22-|2022|Burdeos|Cabernet Sauvignon|210€|Nariz: cassis ervas. Boca: cremoso taninos suaves. TO top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Clarence de Haut-Brion 18-|2018|Burdeos|Cabernet Sauvignon|290€|Nariz: cassis mineral. Boca: denso cremoso. Clarence top. Beba agora-2035. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Clarence de Haut Brion 22-|2022|Burdeos|Cabernet Sauvignon|501€|Nariz: cassis ervas. Boca: cremoso elegante. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Croix Ducru Beaucaillou 22-|2022|Burdeos|Cabernet Sauvignon|129€|Nariz: cassis mineral. Boca: fresco equilibrado. Croix top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion 13-|2013|Burdeos|Cabernet Sauvignon|1102€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion 14-|2014|Burdeos|Cabernet Sauvignon|1137€|Nariz: cassis ervas. Boca: cremoso complexo. Top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion 16-|2016|Burdeos|Cabernet Sauvignon|1030€|Nariz: cassis mineral. Boca: denso taninos firmes. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion 17-|2017|Burdeos|Cabernet Sauvignon|945€|Nariz: cassis ervas. Boca: cremoso elegante. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion Pessac Leognan 18-|2018|Burdeos|Cabernet Sauvignon|750€|Nariz: frutas escuras mineral. Boca: denso longo. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion Pessac Leognan 20-|2020|Burdeos|Cabernet Sauvignon|730€|Nariz: cassis violetas. Boca: cremoso taninos firmes. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mision Haut Brion Pessac Leognan 21-|2021|Burdeos|Cabernet Sauvignon|788€|Nariz: cassis mineral. Boca: denso puro. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Carillon d´Angelus 22-|2022|Burdeos|Merlot|310€|Nariz: cassis ervas. Boca: cremoso equilibrado. Carillon top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Clarence de Haut Brion 22-|2022|Burdeos|Cabernet Sauvignon|501€|Nariz: cassis mineral. Boca: denso cremoso. Clarence top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Clarence de Haut Brion Pessac 19-|2019|Burdeos|Cabernet Sauvignon|289€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Clarence de Haut Brion Pessac 21-|2021|Burdeos|Cabernet Sauvignon|426€|Nariz: frutas escuras mineral. Boca: denso elegante. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Petit Mouton 22-|2022|Burdeos|Cabernet Sauvignon|590€|Nariz: cassis violetas. Boca: cremoso taninos firmes. Petit Mouton top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Pin 19-|2019|Burdeos|Merlot|9900€|Nariz: cassis mineral. Boca: denso cremoso eterno. Le Pin ícone. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Pin 20-|2020|Burdeos|Merlot|10230€|Nariz: frutas escuras ervas. Boca: cremoso taninos suaves. Top. Beba 2028-2050. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Pin 2018-|2018|Burdeos|Merlot|5400€|Nariz: cassis mineral. Boca: denso puro. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Pin 21-|2021|Burdeos|Merlot|10450€|Nariz: cassis violetas. Boca: cremoso longo. Top. Beba 2028-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Carmes Haut Brion Pessac Leognan 19-|2019|Burdeos|Cabernet Sauvignon|224€|Nariz: cassis ervas. Boca: denso cremoso. Carmes top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Carmes Haut Brion Pessac Leognan 21-|2021|Burdeos|Cabernet Sauvignon|178€|Nariz: cassis mineral. Boca: cremoso taninos suaves. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Forts de Latour Pauillac 00-|2000|Burdeos|Cabernet Sauvignon|500€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Forts de Latour Pauillac 15-|2015|Burdeos|Cabernet Sauvignon|578€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Forts de Latour Pauillac 16-|2016|Burdeos|Cabernet Sauvignon|569€|Nariz: cassis mineral. Boca: denso longo. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Pagodes de Cos Saint Estephe-|2021|Burdeos|Cabernet Sauvignon|143€|Nariz: cassis ervas. Boca: cremoso equilibrado. Pagodes top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Pagodes de Cos Saint Estephe 22-|2022|Burdeos|Cabernet Sauvignon|145€|Nariz: cassis mineral. Boca: denso taninos suaves. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Ch Angelus Elisabeth Bouchet GC 18-|2018|Burdeos|Merlot|Magnum (150cl)|6375€|Nariz: cassis mineral maduro. Boca: denso eterno. Magnum top. Beba agora-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Ch Lafite Rothschild Pauillac 19-|2019|Burdeos|Cabernet Sauvignon|Magnum (150cl)|190€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Magnum top. Beba agora-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Ch Lafite Rothschild Pauillac 20-|2020|Burdeos|Cabernet Sauvignon|Magnum (150cl)|190€|Nariz: cassis mineral. Boca: denso longo. Magnum top. Beba agora-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Ch Leoville Les Cases Saint Julien 09-|2009|Burdeos|Cabernet Sauvignon|Magnum (150cl)|1680€|Nariz: cassis ervas maduro. Boca: denso cremoso. Magnum top. Beba agora-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Ch Lynch Bages 10-|2010|Burdeos|Cabernet Sauvignon|Magnum (150cl)|1188€|Nariz: cassis mineral maduro. Boca: complexo eterno. Magnum top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
