Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: brioche, maçã madura, ervas secas, mineral. Boca: cremoso fino, acidez viva, bolha integrada, final longo seco. Cava clássico e elegante. Beba agora-2030. Aperitivo ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Recaredo)
Flor De Pingus 11-|2011|Ribera del Duero|Tempranillo|568€|Nariz: cassis mineral maduro. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Flor De Pingus 12-|2012|Ribera del Duero|Tempranillo|527€|Nariz: frutas escuras ervas. Boca: cremoso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Flor De Pingus 16-|2016|Ribera del Duero|Tempranillo|486€|Nariz: cassis violetas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Flor de Pingus 22-|2022|Ribera del Duero|Tempranillo|274€|Nariz: frutas escuras mineral. Boca: cremoso taninos suaves. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Garmon 21-|2021|Ribera del Duero|Tempranillo|74€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hacienda Monasterio Rva 20-|2020|Ribera del Duero|Tempranillo|145€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Reserva top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Hispania Territorio Luthier TO 21-|2021|Ribera del Duero|Tempranillo|62€|Nariz: frutas escuras ervas. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jeroboam Corullon 5L 22-|2022|Bierzo|Mencía|Jeroboam (500cl)|460€|Nariz: frutas vermelhas mineral. Boca: denso puro eterno. Jeroboam top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Diva 20-|2020|Ribera del Duero|Tempranillo|1033€|Nariz: cassis violetas mineral. Boca: denso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Diva 21-|2021|Ribera del Duero|Tempranillo|1452€|Nariz: frutas escuras ervas. Boca: cremoso longo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Faraona 16-|2016|Bierzo|Mencía|1819€|Nariz: frutas vermelhas mineral. Boca: denso puro. Ícone. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Faraona 18-|2018|Bierzo|Mencía|2687€|Nariz: cassis ervas. Boca: cremoso complexo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Faraona 22-|2022|Bierzo|Mencía|2170€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Ícone. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Faraona 23-|2023|Bierzo|Mencía|2552€|Nariz: cereja ervas. Boca: tenso puro. Jovem ícone. Beba 2027-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Fortuna 22-|2022|Ribera del Duero|Tempranillo|49€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Bom valor. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Galbana 20-|2020|Bierzo|Mencía|70€|Nariz: frutas vermelhas flores. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mata-|2022|Ribera del Duero|Tempranillo|781€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Mata 21-|2021|Ribera del Duero|Tempranillo|734€|Nariz: frutas escuras ervas. Boca: cremoso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Vizcaína El Rapolao 23-|2023|Bierzo|Mencía|48€|Nariz: cereja flores. Boca: fresco mineral. Top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Las Lamas-|2022|Bierzo|Mencía|176€|Nariz: frutas vermelhas mineral. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Las Lamas 20-|2020|Bierzo|Mencía|210€|Nariz: cassis ervas. Boca: cremoso complexo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Las Lamas 21-|2021|Bierzo|Mencía|262€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Las Lamas 22-|2022|Bierzo|Mencía|160€|Nariz: cereja ervas. Boca: puro tenso. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Malleolus Valderramiro 20-|2020|Ribera del Duero|Tempranillo|214€|Nariz: cassis violetas. Boca: denso cremoso. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maria Alonso del Yerro 21-|2021|Ribera del Duero|Tempranillo|109€|Nariz: frutas escuras ervas. Boca: cremoso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Massuria 20-|2020|Bierzo|Mencía|60€|Nariz: cereja flores. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mauro 23-|2023|Castilla y León|Tempranillo|73€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Mauro clássico. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mauro VS 22-|2022|Castilla y León|Tempranillo|157€|Nariz: frutas escuras mineral. Boca: denso complexo. VS top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Aalto PS 13-|2013|Ribera del Duero|Tempranillo|Magnum (150cl)|934€|Nariz: cassis mineral maduro. Boca: denso eterno. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Alabaster 22-|2022|Toro|Tinta de Toro|Magnum (150cl)|692€|Nariz: frutas escuras especiarias. Boca: denso mineral eterno. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Alion 20-|2020|Ribera del Duero|Tempranillo|Magnum (150cl)|336€|Nariz: cassis ervas. Boca: cremoso longo. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Cartago 19-|2019|Castilla y León|Tempranillo|Magnum (150cl)|362€|Nariz: cassis mineral. Boca: denso elegante. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Cuesta Las Liebres 18-|2018|Ribera del Duero|Tempranillo|Magnum (150cl)|723€|Nariz: cassis ervas maduro. Boca: cremoso complexo. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Dominio de de Es La Mata 22-|2022|Ribera del Duero|Tempranillo|Magnum (150cl)|1523€|Nariz: cassis mineral. Boca: denso puro eterno. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Dominio de Es 21-|2021|Ribera del Duero|Tempranillo|Magnum (150cl)|305€|Nariz: frutas escuras ervas. Boca: cremoso longo. Magnum top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Dominio de Es 22-|2022|Ribera del Duero|Tempranillo|Magnum (150cl)|300€|Nariz: cassis mineral. Boca: denso elegante. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Dominio de Es Carravilla 22-|2022|Ribera del Duero|Tempranillo|Magnum (150cl)|1182€|Nariz: frutas escuras mineral. Boca: cremoso complexo. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Dominio de Es La Diva 22-|2022|Ribera del Duero|Tempranillo|Magnum (150cl)|2728€|Nariz: cassis violetas. Boca: denso elegante eterno. Magnum ícone. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg La Faraona 22-|2022|Bierzo|Mencía|Magnum (150cl)|4753€|Nariz: frutas vermelhas mineral. Boca: denso puro eterno. Magnum ícone. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg La Mata 21-|2021|Ribera del Duero|Tempranillo|Magnum (150cl)|1953€|Nariz: cassis ervas. Boca: cremoso longo. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Las Lamas 21-|2021|Bierzo|Mencía|Magnum (150cl)|465€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Las Lamas 22-|2022|Bierzo|Mencía|Magnum (150cl)|455€|Nariz: cereja ervas. Boca: puro tenso. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
